,parentId,authorDisplayName,replyComment,publishedAt,likeCount
17,Ugwmd0G3fQhciGsDi8p4AaABAg,이재한,"홍길동 인터페이스가 고정된 PC에선 OLED보다 LCD가 훨씬 안정적임
QLED는 LCD 중에선 최상급 색 재현율과 휘도라서 일반 LCD랑 차이 크게 남",2020-01-16T14:02:39.000Z,0
18,UgyNuj2quQty1A0GPZJ4AaABAg,seulchan park,그럼 lg로고담니까?,2020-01-16T13:56:52.000Z,0
19,UgxWI20uXoVVeiAc15B4AaABAg,오형빈,@Lemon TV ...?,2020-01-17T05:15:22.000Z,0
20,UgxWI20uXoVVeiAc15B4AaABAg,Lemon TV,Oa JJa Lr Ko HaaO AeeL Or,2020-01-17T01:01:15.000Z,0
21,UgxWI20uXoVVeiAc15B4AaABAg,Lemon TV,⅚⁵⅚⁵5666565555655565554555566⁶66⁶⁶66⁵55⁵⁵⁵5⁵⁵⁵55⁵6⁵⁵⁶⁵⁵⁵⁵55⁵65⁵5⁵5⁵55555555666665⁵⁶5⁵⁶⁵7,2020-01-17T01:00:38.000Z,0
22,Ugw8JVJfc70pZo5f2tZ4AaABAg,박솔민,스마트원정상 근데 맥북은 맥os 때문에 사양이 좋아도 발목이 잡히죠 ㅠㅠ,2020-01-16T23:43:18.000Z,0
23,Ugw8JVJfc70pZo5f2tZ4AaABAg,참치마요,@든해 요즘 삼성 엘지 노트북들도 200넘는게 많아서 비슷해요,2020-01-16T20:23:25.000Z,0
24,Ugw8JVJfc70pZo5f2tZ4AaABAg,든해,가격부터가..,2020-01-16T17:30:20.000Z,0
25,UgwdtGf0AYTJbV_PFG94AaABAg,Cytus ll,그리고오~??,2020-01-16T14:53:44.000Z,0
26,UgwdtGf0AYTJbV_PFG94AaABAg,2079 GAREXHIM,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2020-01-16T14:09:24.000Z,0
27,UgxvDqrQ7S9CiFQhoLx4AaABAg,Min Sang,김범수 저 쉬프트 작은 레노버놋북 있는데 진짜 괴롭네요ㅠㅠ,2020-01-16T15:45:24.000Z,0
28,UgxvDqrQ7S9CiFQhoLx4AaABAg,김범수,음 전 디스플레이 너무좋아서 만족해요 쉬프트키 적응하면 괜찮아요 물론 불편하지만,2020-01-16T15:43:06.000Z,0
29,UgxvDqrQ7S9CiFQhoLx4AaABAg,Min Sang,지문만 아니었으면 살건데ㅜ,2020-01-16T14:29:17.000Z,0
30,UgxvDqrQ7S9CiFQhoLx4AaABAg,김범수,그거빼곤 갠찬은디 만족스러운데,2020-01-16T14:08:58.000Z,0
31,Ugw3V-Wo6oJ65AxBnh14AaABAg,Joe witt,Newclubgirls.life/pVDAw17,2020-01-17T02:32:03.000Z,0
32,Ugw3V-Wo6oJ65AxBnh14AaABAg,[삼촌교]까치아잉아잉,ㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㄴㄱㅋㅋ,2020-01-16T22:54:07.000Z,0
33,Ugw3V-Wo6oJ65AxBnh14AaABAg,Krister TV,야 이.... ㅋㅋㅋㅋㅋㅋㅋ,2020-01-16T15:48:12.000Z,0
34,Ugw3V-Wo6oJ65AxBnh14AaABAg,홍다니,ㅋㅋㄱㅋㄱㅋㄱㄱㄱㄱㄱㄱㅋㄱㅋ 아니미친 개웃겨ㅋㄱㄱㅋㄱㅋㅋㅋㄱㄱㅋㄱㄱㅋㅋㄱㅋㅋㄱㄱㅋㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㅋㄱㅋㄱㄱㄱㅋㄱㄱㄱㄱㄱㄱㅋㄱㅋㅋㄱㅋㄱㅋㄱㅋㄱㅋ,2020-01-16T14:42:45.000Z,2
35,Ugw3V-Wo6oJ65AxBnh14AaABAg,Kung-Fu KENNY,눈썹 밖에 안보이네 ㅋㅋㅋㅋㅋ,2020-01-16T14:31:23.000Z,0
36,UgyefEJ5vbrQZSf2JcB4AaABAg,맹라,잔고야 제발 날 떠나지마ㅠㅠ,2020-01-16T16:02:55.000Z,1
37,UgyzNcyIQ8BUmha-CIp4AaABAg,익명,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2020-01-17T00:11:05.000Z,0
38,UgyzNcyIQ8BUmha-CIp4AaABAg,박솔민,시바 ㄴㄷㅆ,2020-01-16T23:43:46.000Z,0
39,UgyzNcyIQ8BUmha-CIp4AaABAg,시바,춘배....냐한남자?,2020-01-16T18:28:42.000Z,0
40,UgyzNcyIQ8BUmha-CIp4AaABAg,hindi youtube,ㅋㅋㅋㅋㅋㅋㅋ,2020-01-16T14:51:57.000Z,0
41,UgyzNcyIQ8BUmha-CIp4AaABAg,iPhone11 Pro,오 한국말을 하실줄 아는군요!,2020-01-16T13:56:33.000Z,0
42,Ugzu33RkgFDVgZAkqjt4AaABAg,kang건,맥북은 너무 차이가 ㅋㅋㅋ,2020-01-17T05:12:24.000Z,0
43,UgzRtIxaRi8GkWbyijt4AaABAg,김선,@к맑은삶 빡대갈의 뜻을 검색하고 좀 더 해봐,2020-01-17T08:30:56.000Z,0
44,UgzRtIxaRi8GkWbyijt4AaABAg,к맑은삶,"@김선 ? 내 댓글 어디에 욕설이 있냐? 아 뭐 사실 적시로 인한 고소 말하는건가? 정상적인 사고 방식을 가졌다면 '본 영상은 유료광고를 포함하고 있습니다'를 일반적인 광고로 생각하는 사람은 없을텐데? 남한테 이거 돈 받았냐고 따지기 전에 먼저 유튜브 가이드라인이랑 법부터 보고 오라니까?

뭐 진지하게 말하자면 빡대갈 이건 내가 잘못했다고 치자, 근데 넌 자꾸 있지도 않은 사실 가지고 해명해라라고 선동 비스무리한거 하는데 이건 뭐냐?",2020-01-17T08:24:35.000Z,3
45,UgzRtIxaRi8GkWbyijt4AaABAg,김선,@к맑은삶  댓글 잘 못 적다 모욕죄로 고소 당할라..ㅋㅋㅋ 자신있음 계속 비속어나 욕설 썩어 보던가...ㅋㅋ,2020-01-17T08:13:59.000Z,0
46,UgzRtIxaRi8GkWbyijt4AaABAg,к맑은삶,@김선 아니 빡대갈아 유튜브 시청할 때 유료광고가 포함되어 있습니다 메시지 표시되는게 협찬받은거야; 일반 광고랑 유료 광고랑 애초에 아예 다른건데 끝까지 시비거네. 제발 좀 법이랑 유튜브 가이드라인이나 읽고 따지던지 해,2020-01-17T07:56:16.000Z,2
47,UgzRtIxaRi8GkWbyijt4AaABAg,к맑은삶,@장현성 닥 이온입니다. 펜 S 실사 중인데 원가절감 ㅆㅅㅌㅊ라서 타 OS랑 호환성 개판이에요. 이온도 들어간 부품보면 크게 다르진 않은데 일단 아테나 프로젝트쪽이라 그나마 호환성이 나을겁니다,2020-01-17T07:54:29.000Z,0
48,Ugwe62t6VxLNni5cFz14AaABAg,ITSub잇섭,QLED 짭이죠 ㅎㅎ,2020-01-16T13:22:59.000Z,1
49,UgxJ51C9PMj_WGQ3xnN4AaABAg,Google One,@seulchan park 삼성 노트북은 거의다 BOE제 패널이에요,2020-01-16T13:50:15.000Z,0
50,UgxJ51C9PMj_WGQ3xnN4AaABAg,seulchan park,"저거는 이온이니까 그런거죠
비교할거면 플렉스랑 비교해야죠",2020-01-16T13:48:34.000Z,0
51,Ugyo6EFGcBmrEplVAdR4AaABAg,하선 TV,ㅋㅋㅋㅋㅋ,2020-01-17T03:54:21.000Z,0
52,Ugyo6EFGcBmrEplVAdR4AaABAg,세상의 모든 특이폼 SEMOT,폰보다 좀 빡세서 ㅋㅋㅋㅋㅋㅋㅋㅋ,2020-01-17T03:06:32.000Z,0
53,UgwlcblnV7vQjHNn_gN4AaABAg,아픈고양이,"@ITSub잇섭불량 픽셀이 7개 까지인가? 그걸 안넘어서  다른 새 제품으로 교환은 안되고
디스플레이 교체는 가능할것 같다고 들었는데
확실하게 답이 안나와서 다시 한번 매장에 가야겠네요
답글 감사합니다",2020-01-16T13:27:53.000Z,0
54,UgwlcblnV7vQjHNn_gN4AaABAg,ITSub잇섭,"제가 쓰고있는 북S와 이온은 아직 없더라구요.
근데 불량화소 그 정도면 교환해주지 않나요!?",2020-01-16T13:23:21.000Z,0
55,UgwmpDzAW6e3-iwKjN54AaABAg,ITSub잇섭,플렉스는 아직 예정에 없습니다 ㅠㅠ,2020-01-16T13:23:38.000Z,0
