40,yunm,내가 요즘 준일오빠땜에 매일 아침 커피마시러 맥날 갔는데 이제 버거킹으로 감~2차는 버거킹!팬미팅도 버거킹!
41,NAMIS,양준일님께서 팬미팅  2차는 버거킹이라고 해서 와봤어요~울산에는 몇개없네요 ㅜㅜ 이제 2차는 무조건버거킹  양준일님이 매장에 뙇  !  있으면 매일 출근  ~~미리 감사드립니다 양준일 버거킹모델 ㅎ
42,이준희,ㅋㅋㅋ 아놔 버거킹 진짜 ㅋㅋㅋ 햄버거도 좋아하지만 광고로 항상 웃겨주네ㅋㅋㅋㅋ
43,Univ찌룩,0:04 웃음 참으시는거 같으신데ㅋㅋㅋㅋㅋㅋㅋ
44,Skywalker,내가 유튜브 생활 3년만에 광고 썸네일 보고 들어오긴 처음이다ㅋㅋㅋㅋㅋ
45,지영박시율,다음편은 양준일 님 부탁해요 2차는 버거킹!
46,박유튜브,동네분들을 위해  워터파크 작은거지만 무료개방  하실때부터  인성 굿
47,doledoDole,0:08 반복재생 중 ..넘 귀엽자나
48,sinkyulee,이제야 나왔네 ㅋㅋㅋㅋㅋ 기다리고 있었다 맛깔난다 역시 본좌야 ㅠㅠ
49,도개걸윷모모모,버거 하나에 패티 두개를 태워? 너 나중에 다시 봐~
50,TonyShin,묻고 더블로 가!! 나 믿고 더블로 가!!Ask and Go to The Blue!!
51,카이저소제,"맥도날드도 안되, 롯데리아도 안되,이 안에 버거킹 상대가 없다.이게 내 결론이야."
52,AaronRyeoYoon,곽철용 뒤에 노란옷 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 세계관이 합쳐지는것인가?
53,블쿠BC,누가 이거 광고나오면 좋겠다했는데 진짜 나왔네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
54,방구석게임,와 조회수 ㅋㅋㅋㅋㅋㅋ 뭐얔ㅋㅋㅋㅋㅋㅋㅋ 버거킹이 이렇게 떡상하네 볼때마다 몇만씩올라
55,-쌍쌍바100원,와 내가 스스로 광고를 클릭하다니...ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
56,곽재영,ㅋㅋㅋㅋ 와 댓글 처음 적는데 진짜 찍었네 이거 ㅋㅋㅋㅋ 대박
57,hopjay,광고 볼려고 클릭한건 처음인뎈ㅋㅋㅋ 배댓도 쭈욱 그래서 너무신기 ㅋㅋ 대박
58,유멜리,진짜 미쳤나봨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 너무 좋아 ㅠㅠㅠ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
59,UI유아이,아 진짜 진심 방터졋다 아침부터 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
60,OhHailena[Show]그라시아스,광고가 오진다 ㅋㅋ
61,escorter*,나왔네 ㅋㅋㅋㅋ 쫌만 더 빨리 나왔으면 좋았을듯
62,갓시탈,0:08 철용 형님 죄송합니다. 이 누나가 더 눈에 들어왔습니다..
63,totomanlee,대바크!ㅋㅋㅋ예상했던 일이 벌어졌구나? 어이 ~ 젊은 친구들...신사답게 댓글써!
64,인디러버,물들어올때 노저었네 버거킹ㅋㅋㅋ
65,짜파게티중독자,이 이저씨 너무 좋아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
